YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
08/23/1990,81.1,83.5,78.1,9.2,15.5,0.79
08/24/1990,76.5,80.8,75.2,5.4,13.6,0
08/25/1990,82.7,88.7,81,12.6,19.4,0
08/26/1990,82.4,84.2,80.6,31.5,56.3,0.08
08/27/1990,82.1,85.5,79.3,8.6,17.5,0.63
08/28/1990,82.2,86,79.2,3.6,9.7,0.63
08/29/1990,85.2,90,79.2,8.1,17.5,0
08/30/1990,84.9,91.8,82.4,8.9,13.6,0.02
08/31/1990,85.3,89.1,82.4,6.8,11.7,0.35
09/01/1990,78.5,81.3,76.3,2.9,13.6,7.64
09/02/1990,81.1,84.6,79.7,6.9,21.4,0
09/03/1990,81.5,88.3,75,5.6,13.6,0.08
09/04/1990,85.5,89.6,77,4.5,7.8,0.2
09/05/1990,85.7,91.4,81.5,5.8,9.7,0
09/06/1990,83.5,86.7,78.4,11.8,17.5,0.43
09/07/1990,79.6,82,76.1,10,19.4,3.23
09/08/1990,79.1,82.4,76.1,5.8,19.4,0.16
09/09/1990,83.7,88.7,77,8,27.2,0.35
09/10/1990,85.5,90,82.6,3.9,5.8,0
09/11/1990,87.5,91,83.5,6.8,15.5,0
09/12/1990,84.9,91,77.9,4.2,7.8,0.16
09/13/1990,85.3,91.2,77.9,6.7,11.7,0.47
09/14/1990,86.8,89.6,79.7,2.9,3.9,0.63
09/15/1990,85.8,89.8,81.7,7.8,15.5,0.08
09/16/1990,87.4,92.1,81.7,2.9,5.8,0.08
09/17/1990,88,97.2,83.8,3.9,7.8,0
09/18/1990,88.9,94.8,83.7,3.9,9.7,0
09/19/1990,82.4,88.2,78.4,3.2,5.8,0.04
09/20/1990,84,87.4,78.4,2.2,3.9,0.87
09/21/1990,85,89.4,80.2,5.8,9.7,0
09/22/1990,80.8,83.8,76.1,2.3,3.9,0.26
09/23/1990,83.4,89.6,77,3.3,7.8,0
09/24/1990,83.6,91,80.2,2.9,7.8,0
09/25/1990,84.9,90.5,80.2,2.8,5.8,0
09/26/1990,84.9,93.6,79.9,3.1,3.9,0
09/27/1990,84.1,91.9,77.9,2.8,3.9,0.59
09/28/1990,87.4,91.4,79.7,3.6,5.8,0.2
09/29/1990,85.4,89.6,77.5,3.1,5.8,0
09/30/1990,84.7,91.4,81.7,2.7,3.9,0.02
